model	task	config	metric	stock	traced	parity
Qwen/Qwen3-0.6B	arc_easy	hf-traced	sample_len	2376.0	2376.0	EQUAL
Qwen/Qwen3-0.6B	hellaswag	hf-traced	acc,none	0.374726150169289	0.374726150169289	EQUAL
Qwen/Qwen3-0.6B	hellaswag	hf-traced	acc_norm,none	0.47321250746863175	0.47321250746863175	EQUAL
Qwen/Qwen3-0.6B	hellaswag	hf-traced	sample_len	10042.0	10042.0	EQUAL
Qwen/Qwen3-0.6B	mmlu_high_school_psychology	hf-traced	acc,none	0.5577981651376147	0.5577981651376147	EQUAL
Qwen/Qwen3-0.6B	mmlu_high_school_psychology	hf-traced	sample_len	545.0	545.0	EQUAL
EleutherAI/pythia-160m	arc_easy	hf-traced	acc,none	0.3707912457912458	0.3707912457912458	EQUAL
EleutherAI/pythia-160m	arc_easy	hf-traced	acc_norm,none	0.3653198653198653	0.3653198653198653	EQUAL
EleutherAI/pythia-160m	arc_easy	hf-traced	sample_len	2376.0	2376.0	EQUAL
EleutherAI/pythia-160m	hellaswag	hf-traced	acc,none	0.2830113523202549	0.2830113523202549	EQUAL
EleutherAI/pythia-160m	hellaswag	hf-traced	acc_norm,none	0.3042222664807807	0.3042222664807807	EQUAL
EleutherAI/pythia-160m	hellaswag	hf-traced	sample_len	10042.0	10042.0	EQUAL
EleutherAI/pythia-160m	mmlu_high_school_psychology	hf-traced	acc,none	0.1926605504587156	0.1926605504587156	EQUAL
EleutherAI/pythia-160m	mmlu_high_school_psychology	hf-traced	sample_len	545.0	545.0	EQUAL
allenai/OLMo-2-0425-1B	arc_easy	hf-traced	acc,none	0.7272727272727273	0.7272727272727273	EQUAL
allenai/OLMo-2-0425-1B	arc_easy	hf-traced	acc_norm,none	0.7373737373737373	0.7373737373737373	EQUAL
allenai/OLMo-2-0425-1B	arc_easy	hf-traced	sample_len	2376.0	2376.0	EQUAL
allenai/OLMo-2-0425-1B	hellaswag	hf-traced	acc,none	0.5084644493128859	0.5084644493128859	EQUAL
allenai/OLMo-2-0425-1B	hellaswag	hf-traced	acc_norm,none	0.6832304321848237	0.6832304321848237	EQUAL
allenai/OLMo-2-0425-1B	hellaswag	hf-traced	sample_len	10042.0	10042.0	EQUAL
allenai/OLMo-2-0425-1B	mmlu_high_school_psychology	hf-traced	acc,none	0.43119266055045874	0.43119266055045874	EQUAL
allenai/OLMo-2-0425-1B	mmlu_high_school_psychology	hf-traced	sample_len	545.0	545.0	EQUAL
HuggingFaceTB/SmolLM3-3B	arc_easy	hf-traced	acc,none	0.7891414141414141	0.7891414141414141	EQUAL
HuggingFaceTB/SmolLM3-3B	arc_easy	hf-traced	acc_norm,none	0.7723063973063973	0.7723063973063973	EQUAL
HuggingFaceTB/SmolLM3-3B	arc_easy	hf-traced	sample_len	2376.0	2376.0	EQUAL
HuggingFaceTB/SmolLM3-3B	hellaswag	hf-traced	acc,none	0.5651264688309102	0.5651264688309102	EQUAL
HuggingFaceTB/SmolLM3-3B	hellaswag	hf-traced	acc_norm,none	0.7582154949213304	0.7582154949213304	EQUAL
HuggingFaceTB/SmolLM3-3B	hellaswag	hf-traced	sample_len	10042.0	10042.0	EQUAL
HuggingFaceTB/SmolLM3-3B	mmlu_high_school_psychology	hf-traced	acc,none	0.7908256880733945	0.7908256880733945	EQUAL
HuggingFaceTB/SmolLM3-3B	mmlu_high_school_psychology	hf-traced	sample_len	545.0	545.0	EQUAL
unsloth/gemma-2-2b	arc_easy	hf-traced	acc,none	0.8013468013468014	0.8013468013468014	EQUAL
unsloth/gemma-2-2b	arc_easy	hf-traced	acc_norm,none	0.8009259259259259	0.8009259259259259	EQUAL
unsloth/gemma-2-2b	arc_easy	hf-traced	sample_len	2376.0	2376.0	EQUAL
unsloth/gemma-2-2b	hellaswag	hf-traced	acc,none	0.5500896235809599	0.5500896235809599	EQUAL
unsloth/gemma-2-2b	hellaswag	hf-traced	acc_norm,none	0.7303326030671181	0.7303326030671181	EQUAL
unsloth/gemma-2-2b	hellaswag	hf-traced	sample_len	10042.0	10042.0	EQUAL
unsloth/gemma-2-2b	mmlu_high_school_psychology	hf-traced	acc,none	0.7045871559633028	0.7045871559633028	EQUAL
unsloth/gemma-2-2b	mmlu_high_school_psychology	hf-traced	sample_len	545.0	545.0	EQUAL
microsoft/Phi-3-mini-4k-instruct	arc_easy	hf-traced	acc,none	0.8164983164983165	0.8164983164983165	EQUAL
